,Канавинский мост 1,Канавинский мост 2,Вокзал,Метромост 1,Метромост 2,Молитовский мост 1,Молитовский мост 2,Мызинский мост 2,Борский мост 1,Борский мост 2,Паромная переправа 1,Паромная переправа 2,Памятник Горькому,Борский музей военной техники,Борский краеведческий музей,Неклюдово,Музей Сахарова,Зоопарк,Копосовская дубрава,Стрелка,Собор Александра Невского,Нижегородская ярмарка,Мещерское озеро,Парк 1 мая,Нижегородский планетарий,Спасский Староярмарочный собор,Кремль,Памятник Минину и Пожарскому,Чкаловская лестница,Рождественская церковь,Домик Петра 1,Набережная Федоровского,Усадьба Рукавишниковых,Церковь Рождества Иоанна Предтечи на Торгу,Благовещенский монастырь,Нижне-Волжская набережная,Большая Покровская улица,Большая Покровская улица 2,Площадь Минина и Пожарского,Обзорная площадка на Гремячей горе,Музей истории художественных промыслов,Никольский собор,Музей «Паровозы России»,Русский музей фотографии,Литературный музей им. Горького,Музей народов Нижегородского поволжья,Щёлоковский хутор,Святой источник Пафнутия Балахнинского,Перекресток 1,Перекресток 2,Перекресток 3,Перекресток 4,Мызинский мост 1,Перекресток 5,Перекресток 6,Перекресток 7,Перекресток 8
Нижегородская ярмарка,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Мещерское озеро,-,6,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,4,5,-,0,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
Парк 1 мая,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,3,-,-,-,-,-,-
Нижегородский планетарий,-,-,3,-,4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Спасский Староярмарочный собор,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,4,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Кремль,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,3,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3
Памятник Минину и Пожарскому,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,4,4,3,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Чкаловская лестница,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,0,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,5,-
Рождественская церковь,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,0,-,2,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Домик Петра 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,0,3,-,2,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,4
Набережная Федоровского,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,3,0,-,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
Усадьба Рукавишниковых,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,0,-,-,-,-,-,5,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,4,-
